,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_3,diff_2,diff_4,label_0,label_1,label_2,label_3,len_path8,len_path7,len_path9,len_path11,len_path12,ann_shorter_1,ann_longer_1,len_path14,ann_longer_3,diff_1,ann_shorter_3,len_path6,len_path4,ann_shorter_2,ann_longer_2,diff_6,diff_5,len_path10,ann_longer_0,ann_shorter_4,ann_longer_4,len_path5,len_path13,diff_7,ann_shorter_5,ann_longer_5,diff_8,ann_shorter_7,diff_10,ann_longer_6,ann_shorter_6,diff_9,len_path15
1587732420.0,2020-04-24 12:47:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732480.0,2020-04-24 12:48:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,3,set(),24309,3,0,0,set(),1.0,,1.0,0,0,0,0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1587732540.0,2020-04-24 12:49:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,2,set(),24309,2,0,1,{'49.205.84.0/22'},,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732600.0,2020-04-24 12:50:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,3,set(),24309,2,1,0,set(),,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732660.0,2020-04-24 12:51:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732720.0,2020-04-24 12:52:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732780.0,2020-04-24 12:53:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732840.0,2020-04-24 12:54:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,37,set(),24309,5,32,0,set(),2.0,1.0,2.0,0,0,0,0,2.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587732900.0,2020-04-24 12:55:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732960.0,2020-04-24 12:56:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
