,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587732120.0,2020-04-24 12:42:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732180.0,2020-04-24 12:43:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732240.0,2020-04-24 12:44:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732300.0,2020-04-24 12:45:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732360.0,2020-04-24 12:46:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732420.0,2020-04-24 12:47:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732480.0,2020-04-24 12:48:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732540.0,2020-04-24 12:49:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732600.0,2020-04-24 12:50:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732660.0,2020-04-24 12:51:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732720.0,2020-04-24 12:52:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732780.0,2020-04-24 12:53:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732840.0,2020-04-24 12:54:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732900.0,2020-04-24 12:55:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732960.0,2020-04-24 12:56:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733020.0,2020-04-24 12:57:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
