,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_1,diff_3,diff_2,diff_7,label_0,label_1,label_2,label_3,len_path4,len_path5,len_path2,len_path9,len_path3,ann_shorter_3,ann_shorter_6,ann_longer_1,ann_longer_2,ann_longer_0,ann_longer_4,diff_4,len_path6,ann_shorter_2,ann_shorter_1,ann_longer_3,len_path7,ann_longer_6,diff_6,ann_shorter_4,ann_longer_7,diff_5,ann_shorter_5,ann_longer_5,len_path8,len_path10,diff_8,ann_shorter_7,len_path11,len_path12,diff_9,diff_11,len_path13,ann_shorter_9,ann_longer_8,ann_shorter_8,diff_10,diff_12,len_path14,ann_longer_9,ann_longer_10,ann_longer_11,ann_longer_12,diff_13,len_path15,ann_shorter_10
1587732720.0,2020-04-24 12:52:00,6,0,"defaultdict(<class 'set'>, {})",set(),0,0,7,2,165,4,0,1779,"{'172.64.32.0/24', '172.64.38.0/24', '172.64.33.0/24', '172.64.35.0/24'}",13335,17,1760,4,"{'162.158.232.0/22', '103.21.244.0/24', '172.68.112.0/22', '8.44.2.0/24'}",8.0,1.0,3.0,,0,0,0,0,2.0,,8.0,2.0,3.0,1.0,,3.0,3.0,2.0,,,1.0,4.0,3.0,,3.0,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732780.0,2020-04-24 12:53:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,165,0,0,3,set(),13335,1,2,1,{'103.21.244.0/24'},1.0,,,,0,0,0,0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732840.0,2020-04-24 12:54:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,165,0,0,236,set(),13335,14,222,1,{'103.21.244.0/24'},7.0,1.0,6.0,,0,0,0,0,8.0,2.0,3.0,,1.0,1.0,,3.0,1.0,6.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732900.0,2020-04-24 12:55:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,165,0,0,119,set(),13335,4,115,0,set(),2.0,,2.0,,0,0,0,0,1.0,,1.0,,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732960.0,2020-04-24 12:56:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,3,0,165,0,0,63,set(),13335,17,46,3,"{'8.20.122.0/24', '8.9.231.0/24', '8.46.114.0/24'}",10.0,4.0,3.0,,0,0,0,0,4.0,1.0,1.0,,11.0,,,4.0,,6.0,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733020.0,2020-04-24 12:57:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,23,7,172,0,0,138,set(),13335,32,99,5,"{'104.25.64.0/20', '104.27.32.0/20', '104.24.48.0/20', '103.21.244.0/24', '104.16.96.0/20'}",20.0,2.0,10.0,,0,0,0,0,7.0,,10.0,,22.0,1.0,,10.0,1.0,5.0,,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733080.0,2020-04-24 12:58:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,7,2,174,0,0,611,set(),13335,28,581,7,"{'172.69.160.0/24', '172.68.64.0/22', '173.245.63.0/24', '188.114.104.0/24', '162.158.76.0/22', '173.245.54.0/24', '172.69.60.0/22'}",15.0,3.0,8.0,2.0,0,0,0,0,13.0,2.0,2.0,1.0,12.0,1.0,1.0,5.0,1.0,15.0,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1587733140.0,2020-04-24 12:59:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,4,7,181,0,0,147,set(),13335,37,103,2,"{'104.28.112.0/20', '104.27.0.0/20'}",26.0,2.0,9.0,,0,0,0,0,8.0,1.0,9.0,,26.0,1.0,,7.0,,14.0,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733200.0,2020-04-24 13:00:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,6,3,184,0,0,27,set(),13335,10,14,6,"{'104.27.0.0/20', '104.28.112.0/20', '162.158.232.0/22', '103.21.244.0/24', '172.68.112.0/22', '8.44.2.0/24'}",4.0,1.0,2.0,,0,0,0,0,4.0,2.0,,1.0,4.0,,,2.0,1.0,4.0,,,1.0,3.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587733260.0,2020-04-24 13:01:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,6,0,184,0,0,72,set(),13335,12,60,6,"{'104.25.64.0/20', '104.27.32.0/20', '173.245.49.0/24', '104.24.48.0/20', '104.16.96.0/20', '8.44.2.0/24'}",5.0,,5.0,,0,0,0,0,1.0,2.0,2.0,1.0,5.0,,,2.0,3.0,1.0,,,,3.0,3.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
